iter	Logloss
0	0.6561270509
1	0.631461498
2	0.6044546796
3	0.5837622438
4	0.5615283107
5	0.5468776363
6	0.5370833312
7	0.5226531903
8	0.5140216288
9	0.5091285506
10	0.5006160237
11	0.4933893493
12	0.487348227
13	0.4832832376
14	0.4776725969
15	0.4737097056
16	0.4697494906
17	0.4672012329
18	0.4620718432
19	0.4570803817
20	0.4548508409
21	0.452601288
22	0.4506717702
23	0.447886442
24	0.4438452995
25	0.4417641525
26	0.4385106751
27	0.4359625771
28	0.4336277827
29	0.4299984677
30	0.4283194817
31	0.4251144968
32	0.4221763411
33	0.4196176579
34	0.4172199509
35	0.4157746
36	0.4136578625
37	0.4123411328
38	0.4107410371
39	0.407972206
40	0.4064581107
41	0.4053736182
42	0.4031423599
43	0.4013778127
44	0.3999214372
45	0.3984309092
46	0.3970424792
47	0.3961092165
48	0.3947811426
49	0.3929124602
50	0.3912090681
51	0.3890708404
52	0.3878204985
53	0.3864260768
54	0.3846620889
55	0.3830062307
56	0.3819858491
57	0.3792757364
58	0.3778622612
59	0.3765888314
60	0.375343882
61	0.3745926063
62	0.3744247996
63	0.3732994439
64	0.3725875535
65	0.3712035174
66	0.3697492989
67	0.3688137993
68	0.3677570283
69	0.3664532407
70	0.3658876669
71	0.3651838053
72	0.3639075794
73	0.3629229481
74	0.3616670938
75	0.3609096667
76	0.3602614478
77	0.359135413
78	0.3576473216
79	0.3569742173
80	0.3560014495
81	0.3542652629
82	0.3539000506
83	0.3527607543
84	0.3511948511
85	0.3500991741
86	0.349484189
87	0.3485731754
88	0.3470849242
89	0.3465117609
90	0.3462899493
91	0.3451069138
92	0.3448706822
93	0.3432011629
94	0.3426244446
95	0.3411679093
96	0.3408455175
97	0.3389322171
98	0.3376206004
99	0.337012965
100	0.3359646622
101	0.3344399617
102	0.3334373953
103	0.3315469832
104	0.3298639827
105	0.3288055739
106	0.3271686893
107	0.3259491446
108	0.3248926133
109	0.3237658196
110	0.3225443376
111	0.3213689115
112	0.3202411592
113	0.3191340182
114	0.3181050685
115	0.3170304823
116	0.3157553149
117	0.3150431448
118	0.314254561
119	0.3134911223
120	0.3123760523
121	0.3111323811
122	0.3101039108
123	0.3098587515
124	0.309008134
125	0.3072613621
126	0.3061042905
127	0.3044840228
128	0.3038293529
129	0.3029434044
130	0.3022744543
131	0.3008786746
132	0.2994965159
133	0.2990927571
134	0.2981817435
135	0.2969996268
136	0.2963322744
137	0.2948346962
138	0.2943311362
139	0.2934889469
140	0.2925769746
141	0.2916243588
142	0.2906095095
143	0.2903923714
144	0.2896306103
145	0.2888726839
146	0.2879624292
147	0.2866096696
148	0.2862133406
149	0.2851748042
150	0.284123246
151	0.2829021434
152	0.2821844211
153	0.2815732706
154	0.2801339115
155	0.2791495798
156	0.2784651112
157	0.2773945594
158	0.2769046803
159	0.2762212304
160	0.2749750027
161	0.2740899331
162	0.273057668
163	0.2726733223
164	0.2713600678
165	0.2698914293
166	0.2687447233
167	0.2681268422
168	0.2671886065
169	0.2659642884
170	0.2654725519
171	0.2646068952
172	0.2637578355
173	0.2627559083
174	0.2614446111
175	0.2607046597
176	0.260246896
177	0.2597220456
178	0.2591092574
179	0.2582898764
180	0.2578314337
181	0.2565469392
182	0.2555680799
183	0.2546103512
184	0.2542700643
185	0.2531157489
186	0.2530145096
187	0.2515069452
188	0.2505630573
189	0.2498928889
190	0.2492561939
191	0.2484476978
192	0.2482659105
193	0.2471830158
194	0.2466977903
195	0.2456154948
196	0.244898132
197	0.243593865
198	0.2429186237
199	0.2423026599
200	0.2417955249
201	0.2406311035
202	0.2398252637
203	0.2387971928
204	0.238095668
205	0.2362620369
206	0.2354042093
207	0.2344789755
208	0.2341463978
209	0.2338352703
210	0.2333676803
211	0.2322449809
212	0.2315124592
213	0.2302622171
214	0.2297433184
215	0.2291389985
216	0.2281237098
217	0.2277275205
218	0.2272352848
219	0.2263701274
220	0.2254868353
221	0.2250213024
222	0.2239780925
223	0.2234935261
224	0.222773487
225	0.2220040167
226	0.2211378207
227	0.2206296272
228	0.2198645507
229	0.2196316544
230	0.218461501
231	0.2174462323
232	0.2161231316
233	0.2155855988
234	0.2146415511
235	0.2142200969
236	0.2140427435
237	0.2134636884
238	0.2132694983
239	0.2127465053
240	0.2123737435
241	0.2119933922
242	0.2113373242
243	0.2109954994
244	0.2105280691
245	0.2098102869
246	0.2089696155
247	0.2086032448
248	0.2080442419
249	0.2075522258
250	0.2069635441
251	0.2060750991
252	0.2056510486
253	0.2050376013
254	0.2048376593
255	0.2041524717
256	0.2040741606
257	0.2038442602
258	0.2037726797
259	0.2036785106
260	0.2027949388
261	0.202025029
262	0.2010777259
263	0.2004951757
264	0.1995926902
265	0.1990929249
266	0.1986276916
267	0.1982611212
268	0.1974284986
269	0.1970557967
270	0.1967261949
271	0.1963027435
272	0.1956986832
